epoch,step,step_in_epoch,phase,loss,acc_top1,acc_top5,batch_size,seq_len,tokens,step_time_ms,pre_fwd_ms,post_fwd_ms,expert_comm_ms,bwd_total_ms,pre_bwd_ms,post_bwd_ms,bwd_inv_total_ms,bwd_inv_queue_ms,bwd_inv_cold_ms,bwd_inv_net_ms,bwd_inv_compute_ms,bwd_inv_retry_cnt,samples_per_s,tokens_per_s,grad_bytes,grad_total,grad_mode_hot_frac,grad_mode_cold_frac,grad_mode_http_frac,grad_mode_local_frac,grad_mode_fallback_frac,grad_inv_total_ms,grad_inv_queue_ms,grad_inv_cold_ms,grad_inv_net_ms,grad_inv_compute_ms,grad_inv_retry_cnt,grad_nsga2_feasible,grad_fallback_cnt,grad_lat_hot_ms,grad_lat_cold_ms,grad_lat_http_ms,grad_bytes_hot,grad_bytes_cold,grad_bytes_http,dispatch_count,expert_inst_cnt,hot_ratio,active_expert_cnt,active_hot_ratio,hot_flip_cnt,hot_set_size,hot_set_jaccard,expert_load_entropy,cold_total_cnt,cold_skipped_cnt,cold_updated_cnt,cold_skip_ratio,cold_apply_steps_avg,cold_grad_scale_avg,cold_pending_steps_avg,cold_update_hit_cnt,fwd_mode_hot_frac,fwd_mode_cold_frac,fwd_mode_local_frac,fwd_mode_hot_frac_tok,fwd_mode_cold_frac_tok,fwd_mode_local_frac_tok,capacity,overflow_total_assignments,overflow_dropped_assignments,overflow_drop_ratio,inv_total_ms,inv_queue_ms,inv_cold_ms,inv_net_ms,inv_compute_ms,inv_retry_cnt,deadline_ms,deadline_miss,deadline_slack_ms,cost_usd_pre_fwd,cost_usd_post_fwd,cost_usd_expert_fwd,cost_usd_pre_bwd,cost_usd_post_bwd,cost_usd_grad_apply,cost_usd_step,ablation_mode,grad_selector
0,0,0,train,7.641397476196289,0.0,0.0,8,64,512,4900.6580999994185,562.7955983032757,399.4648506260529,151.93955665008804,150.3839000070002,8.443379300579283,391.0183401580704,399.46171945864967,0.009700001101009548,0.0,11.446106494678222,388.0059129628704,0,1.6324334822638344,104.4757428648854,2097152.0,2,0.0,0.0,1.0,0.0,0.0,55.054864736957725,0.006200018106028438,0.0,37.33801226706537,17.710652451786324,0,1,0,0.0,0.0,27.527432368478863,0,0,2097152,8,4,0.0,2,0.0,0,0,1.0,0.0,4,4,0,1.0,0.0,0.0,1.0,0,0.0,1.0,0.0,0.0,1.0,0.0,256,1024,0,0.0,4456.800022317667,2581.5387000184273,820.0,127.50557873110583,927.7557435681337,0,200.0,1,-4700.6580999994185,1.1255911966065517e-05,9.58715641502527e-06,6.494595959857406e-06,4.221689650289642e-08,2.346110040948422e-06,6.055205665248685e-07,3.0331511844924377e-05,no_hotcold,nsga2
0,1,1,train,7.387756943702698,0.0,0.005859375,8,64,512,92.98089999356307,14.26780424048965,12.095513212831191,21.18853819024342,38.53009999147616,6.792071439919896,14.63491022516683,21.42698166508673,0.007099995855242014,0.0,12.00201672375804,9.417864945473445,0,86.03825046115236,5506.448029513751,2097152.0,2,0.0,0.0,1.0,0.0,0.0,50.36107417295391,0.006200003554113209,0.0,33.80864439254219,16.54622977685761,0,1,0,0.0,0.0,25.180537086476956,0,0,2097152,8,4,0.0,2,0.0,0,0,1.0,0.0,4,0,0,0.0,0.0,0.0,2.0,4,0.0,1.0,0.0,0.0,1.0,0.0,256,1024,0,0.0,190.207422574257,30.181500042090192,0.0,133.80839165972634,26.21753087244049,0,200.0,0,107.01910000643693,2.85356084809793e-07,2.902923171079486e-07,9.224148206108504e-07,3.396035719959948e-08,8.780946135100097e-08,5.561862328504218e-07,2.1760192739296144e-06,no_hotcold,nsga2
0,2,2,train,6.315855383872986,0.146484375,0.3515625,8,64,512,417.74390000500716,71.26245785882513,11.404575099441903,21.245037976961605,41.749600000912324,6.303334812405778,14.266513326062814,20.569848138468593,0.007599999662488699,0.0,12.236712676551619,8.325535462254486,0,19.150443248748484,1225.628367919903,2097152.0,2,0.0,0.0,1.0,0.0,0.0,50.79155570674876,0.006399990525096655,0.0,33.91586661705199,16.869289099171677,0,1,0,0.0,0.0,25.39577785337438,0,0,2097152,8,4,0.0,2,0.0,0,0,1.0,0.0,4,4,0,1.0,0.0,0.0,3.0,0,0.0,1.0,0.0,0.0,1.0,0.0,256,1024,0,0.0,415.64828374091456,258.56620000558905,0.0,129.76136386213804,27.320719873187493,0,200.0,1,-217.74390000500716,1.4252491571765029e-06,2.7370980238660564e-07,9.229106026314989e-07,3.151667406202889e-08,8.559907995637687e-08,5.561435889051417e-07,3.2951289051181545e-06,no_hotcold,nsga2
0,3,3,train,5.989890694618225,0.171875,0.416015625,8,64,512,735.6312999909278,73.42088953818836,84.00560141354703,20.478983820771496,56.29659999976866,5.452824091724704,14.815598887385738,20.26842297911044,0.007499998901039362,0.0,11.807326531273414,8.453596448935988,0,10.87499828392345,695.9998901711008,2097152.0,2,0.0,0.0,1.0,0.0,0.0,52.00377964439012,0.006699992809444666,0.0,34.989189460071245,17.007890191509425,0,1,0,0.0,0.0,26.00188982219506,0,0,2097152,8,4,0.0,2,0.0,0,0,1.0,0.0,4,0,0,0.0,0.0,0.0,4.0,4,0.0,1.0,0.0,0.0,1.0,0.0,256,1024,0,0.0,711.6218990900275,265.3887999767903,300.0,124.47367657320973,21.75942254002745,0,200.0,1,-535.6312999909278,1.4684177907637672e-06,3.0419613741641406e-05,8.905069184327797e-07,2.726412045862352e-08,8.889359332431442e-08,5.721726489040729e-07,3.346686881352496e-05,no_hotcold,nsga2
0,4,4,train,5.385592460632324,0.1640625,0.48046875,8,64,512,338.21119999629445,58.441722393685005,2.3222753757147236,19.697009486424506,37.430299998959526,5.927687892071017,12.703009501860334,18.63069739393135,0.007099995855242014,0.0,11.191900484531551,7.431696913544557,0,23.6537889528753,1513.8424929840191,2097152.0,2,0.0,0.0,1.0,0.0,0.0,50.58483580707814,0.008000002708286047,0.0,33.238557189336014,17.338278615033843,0,1,0,0.0,0.0,25.29241790353907,0,0,2097152,8,4,0.0,2,0.0,0,0,1.0,0.0,4,4,0,1.0,0.0,0.0,5.0,0,0.0,1.0,0.0,0.0,1.0,0.0,256,1024,0,0.0,321.8440290232969,205.09170000150334,0.0,103.42006053543736,13.332268486356236,0,200.0,1,-138.21119999629445,1.1688344478737001e-06,9.289101502858895e-07,8.555463916832705e-07,2.9638439460355086e-08,7.6218057011162e-08,5.555955469582147e-07,3.614743033272592e-06,no_hotcold,nsga2
0,5,5,train,5.0328205823898315,0.181640625,0.537109375,8,64,512,335.9790999966208,59.07197552111148,2.3384441430578793,20.439019825576217,36.59489999699872,5.878286115580806,13.393533381240855,19.271819496821664,0.007700000423938036,0.0,11.443510252114493,7.820609244283231,0,23.81093404067819,1523.8997786034042,2097152.0,2,0.0,0.0,1.0,0.0,0.0,53.128401654720676,0.006499991286545992,0.0,35.615396077446036,17.506505585988094,0,1,0,0.0,0.0,26.564200827360338,0,0,2097152,8,4,0.0,2,0.0,0,0,1.0,0.0,4,0,0,0.0,0.0,0.0,6.0,4,0.0,1.0,0.0,0.0,1.0,0.0,256,1024,0,0.0,327.3977579589823,209.17029997508507,0.0,103.70516307335114,14.522294910546103,0,200.0,1,-135.9790999966208,1.1814395104222296e-06,9.353776572231516e-07,8.875796249579316e-07,2.9391430577904034e-08,8.036120028744513e-08,5.824836381167064e-07,3.6966330615853687e-06,no_hotcold,nsga2
0,6,6,train,4.529197931289673,0.18359375,0.54296875,8,64,512,496.9647999969311,86.28809069841944,2.193299689456275,20.842351604585676,37.00139999273233,5.70040853090956,12.024745594171176,17.725154125080735,0.006999995093792677,0.0,10.782620719807195,6.93553341017975,0,16.09768720513444,1030.2519811286043,2097152.0,2,0.0,0.0,1.0,0.0,0.0,55.9749943116162,0.006799993570894003,0.0,37.62733487953149,18.34085943851381,0,1,0,0.0,0.0,27.9874971558081,0,0,2097152,8,4,0.0,2,0.0,0,0,1.0,0.0,4,4,0,1.0,0.0,0.0,7.0,0,0.0,1.0,0.0,0.0,1.0,0.0,256,1024,0,0.0,437.2949679698456,318.19969999196474,0.0,104.43262647537722,14.662641502503623,0,200.0,1,-296.9647999969311,1.7257618139683892e-06,8.773198757825099e-07,9.065849363136192e-07,2.8502042654547803e-08,7.214847356502704e-08,6.142786416079194e-07,4.224595783892012e-06,no_hotcold,nsga2
0,7,7,train,4.289526104927063,0.216796875,0.5390625,8,64,512,100.37060000468045,16.27200499586573,2.346891110928136,20.965849067106255,50.879199989140034,6.1132461003893255,14.137249142600846,20.25049524299017,0.006100002792663872,0.0,12.228836029076657,8.01555921112085,0,79.7038205989239,5101.044518331129,2097152.0,2,0.0,0.0,1.0,0.0,0.0,51.02431468743133,0.006699992809444666,0.0,33.30975093904671,17.707863755575175,0,1,0,0.0,0.0,25.512157343715664,0,0,2097152,8,4,0.0,2,0.0,0,0,1.0,0.0,4,0,0,0.0,0.0,0.0,8.0,4,0.0,1.0,0.0,0.0,1.0,0.0,256,1024,0,0.0,158.33898069560047,36.946599997463636,0.0,105.94447756291899,15.44790313521786,0,200.0,0,99.62939999531955,3.2544009991731463e-07,9.387564443712543e-07,9.1355728340013e-07,3.056623050194663e-08,8.482349485560506e-08,5.61694303646091e-07,2.8548378566923417e-06,no_hotcold,nsga2
0,8,8,train,4.018719434738159,0.23046875,0.53515625,8,64,512,294.84790000424255,49.272060821483514,2.4543292232564395,20.279994845328,37.039399991044775,5.678751308168002,14.41197633849524,20.090727646663243,0.007300011930055916,0.0,10.621180813290529,9.462246821442656,0,27.13254144711033,1736.4826526150612,2097152.0,2,0.0,0.0,1.0,0.0,0.0,49.26097674660642,0.008799994247965515,0.0,31.82840650166066,17.423770250697793,0,1,0,0.0,0.0,24.63048837330321,0,0,2097152,8,4,0.0,2,0.0,0,0,1.0,0.0,4,4,0,1.0,0.0,0.0,9.0,0,0.0,1.0,0.0,0.0,1.0,0.0,256,1024,0,0.0,288.0255395602718,169.3340000056196,0.0,102.66636275209694,16.02517680255528,0,200.0,1,-94.84790000424255,9.854412164296705e-07,9.81731689302576e-07,8.80032579194231e-07,2.8393756540840014e-08,8.647185803097144e-08,5.420658069848371e-07,3.5041369064831263e-06,no_hotcold,nsga2
0,9,9,train,3.758854031562805,0.232421875,0.55859375,8,64,512,1709.9721999984467,356.64925733686005,3.0752794773913443,22.07868363785768,39.963400005945005,9.422017130634412,21.2843412050987,30.70635833573311,0.007499998901039362,0.0,11.731700948051895,18.967157388780173,0,4.678435895958643,299.41989734135313,2097152.0,2,0.0,0.0,1.0,0.0,0.0,51.51106492989471,0.006500020390376449,0.0,32.47445309628522,19.030111813219115,0,1,0,0.0,0.0,25.755532464947354,0,0,2097152,8,4,0.0,2,0.0,0,0,1.0,0.0,4,0,0,0.0,0.0,0.0,10.0,4,0.0,1.0,0.0,0.0,1.0,0.0,256,1024,0,0.0,1527.2128818084361,1394.7723999881418,0.0,103.27096857786235,29.169513242432096,0,200.0,1,-1509.9721999984467,7.132985146737201e-06,1.2301117909565379e-06,9.595068808894412e-07,4.711008565317207e-08,1.2770604723059218e-07,5.657578568113679e-07,1.0063177808278313e-05,no_hotcold,nsga2
